nationality,avg_composite,player_count
Qatari,46.486326122756765,26
Dutch,44.21689896788847,26
Moroccan,43.75027212201728,26
Panamanian,43.58864540504611,26
Jamaican,43.53464322969974,26
Saudi,43.187074923580035,26
Scottish,42.74262082750273,26
Cameroonian,42.47184577840385,26
Italian,41.863561568467794,26
Ghanaian,41.31459599399253,26
Peruvian,40.646219760870935,26
Canadian,40.63528499163687,26
Belgian,40.602958781531434,26
Croatian,40.163177490576984,26
Iranian,39.539080136303205,26
Spanish,39.45841423481947,26
Australian,39.43662894567066,26
Nigerian,39.25035460245546,26
Iraqi,39.180541316690565,26
Ecuadorian,38.87286891508636,26
Japanese,38.554975253246326,26
American,38.33212739740318,26
English,38.298597977138,26
Algerian,38.15119573966221,26
Costa Rican,38.09106029394823,26
Uruguayan,38.01528267285003,26
Colombian,37.859151739927036,26
Argentine,37.59968257568067,26
Brazilian,37.28474228843416,26
Serbian,37.20128514663712,26
Turkish,37.1626513007377,26
Mexican,37.12728557566803,26
Portuguese,37.028680837375006,26
Senegalese,36.6760724363828,26
Danish,36.669648316986084,26
Uzbek,36.537499799842244,26
Egyptian,36.31106739315258,26
Tunisian,36.18599820881554,26
Polish,35.97813946694246,26
Austrian,35.97505288798367,26
South Korean,35.31218758696336,26
German,35.019496188160936,26
Ukrainian,34.95257378951497,26
South African,34.6844128246771,26
French,33.96315789032787,26
Swiss,33.94657964033705,26
Swedish,33.71856702904297,26
Chilean,31.88434125101363,26
