player_id,player_name,nationality,position,team,age,market_value_eur,club_name,matches,minutes,goals,assists,xg,xa,shots,key_passes,tackles,interceptions,recoveries,dribbles_succ,pass_acc,saves,clean_sheets,rating,stamina,top_speed,distance,creativity,consistency,clutch,pressure,offensive,defensive,poty_awards,per90,goals_p90,assists_p90,xg_p90,xa_p90,finishing_delta,ga_p90,ga_expected_p90,ga_actual_p90,category,label
P00255,Granit Kobal,Swiss,Forward,Switzerland,23,97999154,Lech Poznan,35,1400,6,4,7.95,0.77,69,43,10,3,43,30,0.7474285714285714,0,0,4.328571428571428,82.54,34.9,151.6,93.71714285714286,96.0657142857143,55.11714285714285,92.14,96.28285714285714,23.877142857142857,3,0.06428571428571428,0.3857142857142857,0.2571428571428571,0.5110714285714285,0.049499999999999995,-1.9500000000000002,0.6428571428571428,0.5605714285714285,0.6428571428571428,Underperformer,Granit Kobal (Swi)
P00074,Gavi Le Normand,Spanish,Forward,Spain,25,27469713,Galatasaray,45,1713,4,4,5.88,1.06,61,25,18,7,55,27,0.7742222222222221,0,0,4.171111111111111,83.84,37.0,180.2,81.82222222222222,91.22222222222223,55.464444444444446,88.39111111111112,89.47111111111111,23.693333333333335,2,0.05253940455341506,0.21015761821366025,0.21015761821366025,0.30893169877408055,0.05569176882661997,-1.88,0.4203152364273205,0.3646234676007005,0.4203152364273205,Underperformer,Gavi Le Normand (Spa)
P00026,Theo Hernandez,French,Forward,France,33,8331439,Grasshoppers,34,1210,0,1,1.79,0.67,24,9,13,3,18,8,0.7629411764705882,0,0,3.8764705882352946,80.09411764705882,37.0,138.2,44.57058823529412,50.7235294117647,53.07647058823529,45.30882352941177,49.98823529411764,24.53529411764706,0,0.0743801652892562,0.0,0.0743801652892562,0.1331404958677686,0.049834710743801656,-1.79,0.0743801652892562,0.18297520661157027,0.0743801652892562,Underperformer,Theo Hernandez (Fre)
P00569,Gary Delgado,Chilean,Forward,Chile,23,20735451,LDU Quito,37,1109,1,1,2.42,0.38,38,17,10,6,28,10,0.7937837837837838,0,0,3.0216216216216214,80.68108108108108,36.3,120.4,63.85405405405405,68.93783783783783,57.099999999999994,67.67567567567568,72.57027027027027,23.737837837837837,0,0.0811541929666366,0.0811541929666366,0.0811541929666366,0.19639314697926058,0.03083859332732191,-1.42,0.1623083859332732,0.2272317403065825,0.1623083859332732,Underperformer,Gary Delgado (Chi)
P00745,Francisco Aguilar,Costa Rican,Midfielder,Costa Rica,26,17981105,Forge FC,46,1527,0,5,1.4,1.11,31,46,35,24,81,9,0.8404347826086955,0,0,3.5521739130434784,81.6891304347826,36.5,186.9,62.44565217391305,68.28260869565217,58.24347826086956,64.6891304347826,60.910869565217396,54.07826086956521,0,0.05893909626719057,0.0,0.29469548133595286,0.08251473477406679,0.06542239685658154,-1.4,0.29469548133595286,0.1479371316306483,0.29469548133595286,Underperformer,Francisco Aguilar (Cos)
P00434,Ruslan Bondarenko,Ukrainian,Midfielder,Ukraine,28,11638963,PSV Eindhoven,38,1478,0,3,1.39,2.1,23,33,37,33,64,8,0.8560526315789474,0,0,4.3315789473684205,82.0,34.8,188.9,70.78157894736842,69.11315789473684,63.63157894736842,69.85526315789474,58.944736842105264,55.06052631578948,0,0.06089309878213803,0.0,0.18267929634641408,0.08464140730717186,0.12787550744248985,-1.39,0.18267929634641408,0.21251691474966172,0.18267929634641408,Underperformer,Ruslan Bondarenko (Ukr)
P00222,Mateo Stanisic,Croatian,Midfielder,Croatia,19,47105569,Red Star Belgrade,49,1772,0,4,1.31,1.31,17,32,44,33,74,13,0.8491836734693877,0,0,3.9244897959183676,85.16122448979591,36.5,208.7,67.59387755102041,70.74081632653062,54.50816326530612,67.37142857142857,58.18163265306123,56.795918367346935,0,0.050790067720090294,0.0,0.20316027088036118,0.06653498871331828,0.06653498871331828,-1.31,0.20316027088036118,0.13306997742663657,0.20316027088036118,Underperformer,Mateo Stanisic (Cro)
P00458,Stuart Shankland,Scottish,Midfielder,Scotland,21,5410461,Inter Milan,49,1859,0,3,1.24,0.9600000000000001,22,42,48,34,95,7,0.8479591836734693,0,0,3.455102040816327,82.89999999999999,36.7,215.1,65.53673469387755,69.85510204081633,55.71632653061224,64.07959183673469,56.963265306122445,55.446938775510205,1,0.04841312533620226,0.0,0.14523937600860679,0.0600322754168908,0.04647660032275418,-1.24,0.14523937600860679,0.10650887573964499,0.14523937600860679,Underperformer,Stuart Shankland (Sco)
P01140,Eric Mba,Cameroonian,Forward,Cameroon,30,75848303,Zamalek,44,2215,14,7,3.15,3.3499999999999996,105,62,27,11,63,56,0.7854545454545455,0,0,5.379545454545454,88.00681818181819,37.0,244.6,91.08636363636364,95.83863636363635,60.23409090909092,93.95227272727271,96.50454545454545,25.468181818181815,1,0.040632054176072234,0.5688487584650113,0.28442437923250563,0.12799097065462753,0.13611738148984198,10.85,0.8532731376975169,0.2641083521444695,0.8532731376975169,Overperformer,Eric Mba (Cam)
P00754,Randal Duarte,Costa Rican,Forward,Costa Rica,23,94057245,CF Montreal,46,1477,14,6,2.77,0.91,49,30,13,5,40,20,0.7765217391304348,0,0,4.27391304347826,84.98913043478261,36.7,160.2,78.38913043478261,85.78695652173913,55.23913043478261,83.52608695652174,88.91739130434782,25.15869565217391,2,0.06093432633716994,0.8530805687203792,0.36560595802301965,0.16878808395396075,0.05545023696682465,11.23,1.2186865267433988,0.22423832092078538,1.2186865267433988,Overperformer,Randal Duarte (Cos)
